#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=DAAZ|date=2024-12-05|rows=332|source_base=424989|compact_sha=ac4bf77614dbb0158215de23237f4a69fd2abad730362611002f89ca699c3764
defaults_json={"RAW_TICKER":"DAAZ","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
37|09:37:00|4570.000000|4670.000000|4570.000000|4660.000000|598100|
38|09:38:00|4670.000000|4780.000000|4620.000000|4650.000000|749500|
39|09:39:00|4660.000000|4690.000000|4600.000000|4660.000000|385900|
40|09:40:00|4660.000000|4660.000000|4560.000000|4580.000000|405100|
41|09:41:00|4580.000000|4620.000000|4480.000000|4590.000000|514900|
42|09:42:00|4580.000000|4580.000000|4470.000000|4540.000000|591900|
43|09:43:00|4550.000000|4560.000000|4450.000000|4470.000000|424000|
44|09:44:00|4470.000000|4520.000000|4470.000000|4520.000000|207000|
45|09:45:00|4510.000000|4530.000000|4500.000000|4510.000000|96800|
46|09:46:00|4500.000000|4510.000000|4470.000000|4510.000000|196500|
47|09:47:00|4500.000000|4510.000000|4490.000000|4500.000000|39300|
48|09:48:00|4500.000000|4530.000000|4500.000000|4530.000000|58200|
49|09:49:00|4530.000000|4530.000000|4500.000000|4500.000000|45500|
50|09:50:00|4500.000000|4510.000000|4460.000000|4480.000000|101000|
51|09:51:00|4490.000000|4490.000000|4460.000000|4460.000000|59300|
52|09:52:00|4460.000000|4460.000000|4380.000000|4400.000000|513900|
53|09:53:00|4400.000000|4440.000000|4400.000000|4410.000000|237200|
54|09:54:00|4410.000000|4410.000000|4180.000000|4240.000000|1116600|
55|09:55:00|4240.000000|4290.000000|4130.000000|4260.000000|628200|
56|09:56:00|4260.000000|4300.000000|4150.000000|4220.000000|528200|
57|09:57:00|4220.000000|4250.000000|4180.000000|4250.000000|791900|
58|09:58:00|4250.000000|4330.000000|4250.000000|4310.000000|259300|
59|09:59:00|4310.000000|4320.000000|4270.000000|4280.000000|76500|
60|10:00:00|4270.000000|4310.000000|4250.000000|4270.000000|170900|
61|10:01:00|4270.000000|4290.000000|4260.000000|4290.000000|50900|
62|10:02:00|4290.000000|4310.000000|4290.000000|4300.000000|71100|
63|10:03:00|4310.000000|4310.000000|4290.000000|4300.000000|24800|
64|10:04:00|4300.000000|4310.000000|4290.000000|4290.000000|22900|
65|10:05:00|4290.000000|4300.000000|4260.000000|4270.000000|91200|
66|10:06:00|4280.000000|4300.000000|4280.000000|4300.000000|28400|
67|10:07:00|4300.000000|4300.000000|4290.000000|4300.000000|20100|
68|10:08:00|4300.000000|4330.000000|4290.000000|4310.000000|84000|
69|10:09:00|4310.000000|4320.000000|4300.000000|4320.000000|43500|
70|10:10:00|4320.000000|4330.000000|4300.000000|4310.000000|42800|
71|10:11:00|4310.000000|4310.000000|4280.000000|4300.000000|104300|
72|10:12:00|4300.000000|4300.000000|4280.000000|4290.000000|20700|
73|10:13:00|4290.000000|4290.000000|4260.000000|4280.000000|86900|
74|10:14:00|4270.000000|4280.000000|4270.000000|4280.000000|6000|
75|10:15:00|4280.000000|4280.000000|4200.000000|4200.000000|280000|
76|10:16:00|4200.000000|4220.000000|4150.000000|4210.000000|405100|
77|10:17:00|4210.000000|4220.000000|4180.000000|4220.000000|149100|
78|10:18:00|4220.000000|4230.000000|4180.000000|4190.000000|167300|
79|10:19:00|4190.000000|4190.000000|4180.000000|4180.000000|39300|
80|10:20:00|4190.000000|4220.000000|4180.000000|4220.000000|85400|
81|10:21:00|4210.000000|4240.000000|4210.000000|4210.000000|75000|
82|10:22:00|4220.000000|4230.000000|4210.000000|4210.000000|17500|
83|10:23:00|4210.000000|4210.000000|4180.000000|4190.000000|171700|
84|10:24:00|4190.000000|4190.000000|4180.000000|4180.000000|23400|
85|10:25:00|4180.000000|4210.000000|4180.000000|4210.000000|124000|
86|10:26:00|4210.000000|4210.000000|4200.000000|4210.000000|13600|
87|10:27:00|4200.000000|4210.000000|4200.000000|4200.000000|12900|
88|10:28:00|4200.000000|4220.000000|4200.000000|4220.000000|65300|
89|10:29:00|4210.000000|4230.000000|4200.000000|4220.000000|27100|
90|10:30:00|4220.000000|4230.000000|4210.000000|4220.000000|17100|
91|10:31:00|4220.000000|4250.000000|4220.000000|4240.000000|26400|
92|10:32:00|4250.000000|4270.000000|4240.000000|4270.000000|33300|
93|10:33:00|4270.000000|4270.000000|4260.000000|4270.000000|47500|
94|10:34:00|4270.000000|4270.000000|4250.000000|4260.000000|35000|
95|10:35:00|4260.000000|4270.000000|4250.000000|4270.000000|29200|
96|10:36:00|4270.000000|4270.000000|4250.000000|4270.000000|41000|
97|10:37:00|4260.000000|4260.000000|4230.000000|4250.000000|44500|
98|10:38:00|4240.000000|4250.000000|4230.000000|4250.000000|22700|
99|10:39:00|4250.000000|4280.000000|4250.000000|4280.000000|45400|
100|10:40:00|4270.000000|4280.000000|4250.000000|4270.000000|17800|
101|10:41:00|4260.000000|4260.000000|4240.000000|4240.000000|46200|
102|10:42:00|4250.000000|4270.000000|4240.000000|4270.000000|16900|
103|10:43:00|4270.000000|4280.000000|4270.000000|4270.000000|34000|
104|10:44:00|4270.000000|4270.000000|4250.000000|4270.000000|21600|
105|10:45:00|4270.000000|4270.000000|4250.000000|4270.000000|20800|
106|10:46:00|4250.000000|4280.000000|4250.000000|4250.000000|48200|
107|10:47:00|4270.000000|4280.000000|4250.000000|4280.000000|59200|
108|10:48:00|4280.000000|4310.000000|4280.000000|4300.000000|62600|
109|10:49:00|4310.000000|4310.000000|4300.000000|4310.000000|30900|
110|10:50:00|4320.000000|4320.000000|4290.000000|4300.000000|23900|
111|10:51:00|4290.000000|4300.000000|4280.000000|4280.000000|12000|
112|10:52:00|4280.000000|4290.000000|4270.000000|4290.000000|3000|
113|10:53:00|4270.000000|4270.000000|4250.000000|4260.000000|62800|
114|10:54:00|4250.000000|4260.000000|4240.000000|4250.000000|33500|
115|10:55:00|4250.000000|4250.000000|4210.000000|4220.000000|64100|
116|10:56:00|4230.000000|4240.000000|4230.000000|4240.000000|7300|
