#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=CTRA|date=2024-12-05|rows=226|source_base=411168|compact_sha=3d05947032a5c9b20e37e6e7259ca34390810fe492004676b2d826c30154c1a0
defaults_json={"RAW_TICKER":"CTRA","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"40","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"0","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"1","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
26|09:26:00|1115.000000|1115.000000|1115.000000|1115.000000|79800|x3=20;x8=1;x10=0
27|09:29:00|1115.000000|1115.000000|1115.000000|1115.000000|176500|x3=20;x8=1;x10=0
28|09:30:00|1115.000000|1115.000000|1115.000000|1115.000000|10000|x3=20;x8=1;x10=0
29|09:32:00|1115.000000|1115.000000|1115.000000|1115.000000|600|x3=20;x8=1;x10=0
30|09:33:00|1115.000000|1115.000000|1115.000000|1115.000000|400|x3=20;x8=1;x10=0
31|09:35:00|1110.000000|1115.000000|1110.000000|1115.000000|354900|x3=20;x8=1;x10=0
32|09:36:00|1115.000000|1115.000000|1115.000000|1115.000000|9600|x3=20;x8=1;x10=0
33|09:38:00|1115.000000|1115.000000|1115.000000|1115.000000|109500|x3=20;x8=1;x10=0
34|09:39:00|1110.000000|1115.000000|1110.000000|1115.000000|119500|x3=20;x8=1;x10=0
35|09:40:00|1115.000000|1115.000000|1115.000000|1115.000000|3500|x3=20;x8=1;x10=0
36|09:41:00|1115.000000|1115.000000|1115.000000|1115.000000|2000|x3=20;x8=1;x10=0
37|09:42:00|1110.000000|1115.000000|1110.000000|1110.000000|3200|x3=20;x8=1;x10=0
38|09:43:00|1110.000000|1110.000000|1110.000000|1110.000000|5700|x3=20;x8=1;x10=0
39|09:44:00|1110.000000|1115.000000|1110.000000|1110.000000|17600|x3=20;x8=1;x10=0
40|09:45:00|1110.000000|1110.000000|1110.000000|1110.000000|6300|x3=20;x8=1;x10=0
41|09:46:00|1110.000000|1110.000000|1105.000000|1105.000000|155000|x3=20;x8=1;x10=0
42|09:47:00|1105.000000|1110.000000|1105.000000|1110.000000|1500|x3=20;x8=1;x10=0
43|09:48:00|1105.000000|1105.000000|1105.000000|1105.000000|6300|x3=20;x8=1;x10=0
44|09:49:00|1105.000000|1105.000000|1105.000000|1105.000000|4600|x3=20;x8=1;x10=0
45|09:50:00|1105.000000|1105.000000|1105.000000|1105.000000|2700|x3=20;x8=1;x10=0
46|09:51:00|1105.000000|1105.000000|1105.000000|1105.000000|2600|x3=20;x8=1;x10=0
47|09:52:00|1105.000000|1105.000000|1105.000000|1105.000000|4100|x3=20;x8=1;x10=0
48|09:53:00|1105.000000|1105.000000|1105.000000|1105.000000|166900|x3=20;x8=1;x10=0
49|09:54:00|1105.000000|1105.000000|1105.000000|1105.000000|4100|x3=20;x8=1;x10=0
50|09:55:00|1105.000000|1105.000000|1100.000000|1100.000000|207600|x3=20;x8=1;x10=0
51|09:56:00|1100.000000|1100.000000|1100.000000|1100.000000|2200|x3=20;x8=1;x10=0
52|09:57:00|1100.000000|1100.000000|1100.000000|1100.000000|2400|x3=20;x8=1;x10=0
