#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=CYBR|date=2024-12-05|rows=199|source_base=421652|compact_sha=7c819458d4d7137f2151145b7f84790522525c1cbb8e2a21dc0529006f581b0b
defaults_json={"RAW_TICKER":"CYBR","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
140|14:19:00|163.000000|163.000000|163.000000|163.000000|150600|x3=40;x8=0;x10=1
141|14:20:00|163.000000|163.000000|163.000000|163.000000|196200|x3=40;x8=0;x10=1
142|14:21:00|163.000000|163.000000|163.000000|163.000000|120000|x3=40;x8=0;x10=1
143|14:22:00|163.000000|163.000000|163.000000|163.000000|59800|x3=40;x8=0;x10=1
144|14:23:00|164.000000|164.000000|162.000000|162.000000|62200|x3=40;x8=0;x10=1
145|14:24:00|164.000000|164.000000|164.000000|164.000000|60000|x3=40;x8=0;x10=1
146|14:25:00|163.000000|163.000000|163.000000|163.000000|120200|x3=40;x8=0;x10=1
147|14:26:00|164.000000|164.000000|163.000000|163.000000|200000|x3=40;x8=0;x10=1
148|14:30:00|163.000000|163.000000|163.000000|163.000000|14000|x3=40;x8=0;x10=1
149|14:32:00|164.000000|164.000000|164.000000|164.000000|210400|x3=40;x8=0;x10=1
150|14:33:00|164.000000|164.000000|164.000000|164.000000|528400|x3=40;x8=0;x10=1
151|14:34:00|164.000000|164.000000|163.000000|164.000000|735000|x3=40;x8=0;x10=1
152|14:35:00|164.000000|164.000000|164.000000|164.000000|1011400|x3=40;x8=0;x10=1
153|14:36:00|164.000000|164.000000|164.000000|164.000000|253600|x3=40;x8=0;x10=1
154|14:37:00|164.000000|164.000000|164.000000|164.000000|120000|x3=40;x8=0;x10=1
155|14:39:00|164.000000|165.000000|164.000000|165.000000|9000|x3=40;x8=0;x10=1
156|14:42:00|165.000000|165.000000|165.000000|165.000000|400|x3=40;x8=0;x10=1
157|14:45:00|165.000000|165.000000|165.000000|165.000000|6400|x3=40;x8=0;x10=1
158|14:49:00|164.000000|164.000000|164.000000|164.000000|86000|x3=40;x8=0;x10=1
159|14:50:00|165.000000|165.000000|165.000000|165.000000|100000|x3=40;x8=0;x10=1
160|14:54:00|164.000000|164.000000|164.000000|164.000000|51800|x3=40;x8=0;x10=1
161|14:55:00|164.000000|164.000000|164.000000|164.000000|12400|x3=40;x8=0;x10=1
162|15:03:00|164.000000|164.000000|164.000000|164.000000|454200|x3=40;x8=0;x10=1
163|15:04:00|164.000000|164.000000|164.000000|164.000000|190800|x3=40;x8=0;x10=1
164|15:05:00|164.000000|164.000000|164.000000|164.000000|298600|x3=40;x8=0;x10=1
165|15:06:00|164.000000|164.000000|164.000000|164.000000|646800|x3=40;x8=0;x10=1
166|15:07:00|164.000000|164.000000|164.000000|164.000000|128200|x3=40;x8=0;x10=1
167|15:08:00|163.000000|164.000000|163.000000|164.000000|1025800|x3=40;x8=0;x10=1
168|15:09:00|164.000000|164.000000|164.000000|164.000000|897400|x3=40;x8=0;x10=1
169|15:10:00|164.000000|164.000000|164.000000|164.000000|128200|x3=40;x8=0;x10=1
170|15:14:00|164.000000|164.000000|164.000000|164.000000|200400|x3=40;x8=0;x10=1
171|15:15:00|164.000000|165.000000|164.000000|165.000000|55600|x3=40;x8=0;x10=1
172|15:17:00|165.000000|165.000000|165.000000|165.000000|102000|x3=40;x8=0;x10=1
173|15:21:00|164.000000|164.000000|164.000000|164.000000|20000|x3=40;x8=0;x10=1
174|15:22:00|164.000000|165.000000|164.000000|165.000000|147800|x3=40;x8=0;x10=1
175|15:23:00|165.000000|166.000000|165.000000|165.000000|480600|x3=40;x8=0;x10=1
176|15:24:00|165.000000|165.000000|165.000000|165.000000|166200|x3=40;x8=0;x10=1
177|15:26:00|165.000000|165.000000|165.000000|165.000000|30400|x3=40;x8=0;x10=1
178|15:27:00|165.000000|166.000000|165.000000|166.000000|225000|x3=40;x8=0;x10=1
179|15:28:00|165.000000|165.000000|165.000000|165.000000|240000|x3=40;x8=0;x10=1
180|15:29:00|166.000000|166.000000|166.000000|166.000000|107000|x3=40;x8=0;x10=1
181|15:31:00|166.000000|166.000000|166.000000|166.000000|122600|x3=40;x8=0;x10=1
182|15:34:00|166.000000|166.000000|166.000000|166.000000|254600|x3=40;x8=0;x10=1
183|15:35:00|166.000000|167.000000|166.000000|167.000000|206800|x3=40;x8=0;x10=1
184|15:36:00|166.000000|166.000000|166.000000|166.000000|106400|x3=40;x8=0;x10=1
185|15:41:00|165.000000|166.000000|165.000000|166.000000|110800|x3=40;x8=0;x10=1
186|15:42:00|166.000000|167.000000|166.000000|166.000000|162000|x3=40;x8=0;x10=1
187|15:43:00|167.000000|167.000000|167.000000|167.000000|107200|x3=40;x8=0;x10=1
188|15:44:00|167.000000|167.000000|167.000000|167.000000|40000|x3=40;x8=0;x10=1
189|15:47:00|167.000000|168.000000|167.000000|168.000000|655200|x3=40;x8=0;x10=1;x18=1
190|15:48:00|169.000000|169.000000|168.000000|168.000000|65000|x3=40;x8=0;x10=1;x18=1
191|15:49:00|169.000000|169.000000|167.000000|168.000000|112200|x3=40;x8=0;x10=1;x18=1
192|16:00:00|169.000000|169.000000|169.000000|169.000000|711400|x3=51;x8=0
193|16:02:00|169.000000|169.000000|169.000000|169.000000|600|x3=60;x8=0;x12=1
194|16:03:00|169.000000|169.000000|169.000000|169.000000|2800|x3=60;x8=0;x12=1
195|16:04:00|169.000000|169.000000|169.000000|169.000000|92600|x3=60;x8=0;x12=1
196|16:05:00|169.000000|169.000000|169.000000|169.000000|133800|x3=60;x8=0;x12=1
197|16:07:00|169.000000|169.000000|169.000000|169.000000|6800|x3=60;x8=0;x12=1
198|16:09:00|169.000000|169.000000|169.000000|169.000000|10000|x3=60;x8=0;x12=1
