#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=DILD|date=2024-12-05|rows=166|source_base=451405|compact_sha=9cb3f049a68095371df3dd322b99601bbca4051c2e82c9064df3bf335a97e438
defaults_json={"RAW_TICKER":"DILD","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
48|09:51:00|171.000000|171.000000|171.000000|171.000000|300|
49|09:52:00|172.000000|172.000000|172.000000|172.000000|2200|
50|09:56:00|171.000000|171.000000|171.000000|171.000000|100|
51|09:58:00|172.000000|172.000000|172.000000|172.000000|100|
52|10:00:00|171.000000|172.000000|171.000000|172.000000|4300|
53|10:02:00|171.000000|172.000000|171.000000|172.000000|39900|
54|10:04:00|171.000000|171.000000|171.000000|171.000000|291500|
55|10:06:00|171.000000|171.000000|171.000000|171.000000|15700|
56|10:07:00|171.000000|171.000000|171.000000|171.000000|15300|
57|10:08:00|171.000000|171.000000|171.000000|171.000000|348700|
58|10:09:00|170.000000|170.000000|170.000000|170.000000|15500|
59|10:11:00|170.000000|170.000000|170.000000|170.000000|594300|
60|10:12:00|170.000000|170.000000|170.000000|170.000000|10000|
61|10:15:00|171.000000|171.000000|170.000000|170.000000|21000|
62|10:18:00|170.000000|171.000000|170.000000|171.000000|420000|
63|10:19:00|171.000000|171.000000|171.000000|171.000000|67400|
64|10:20:00|170.000000|170.000000|170.000000|170.000000|14700|
65|10:21:00|170.000000|171.000000|170.000000|171.000000|36000|
66|10:22:00|170.000000|171.000000|170.000000|171.000000|20100|
67|10:23:00|171.000000|171.000000|171.000000|171.000000|500|
68|10:24:00|171.000000|171.000000|171.000000|171.000000|2000|
69|10:25:00|170.000000|170.000000|170.000000|170.000000|200|
70|10:26:00|171.000000|172.000000|171.000000|172.000000|6400|
71|10:28:00|172.000000|172.000000|172.000000|172.000000|35000|
72|10:33:00|171.000000|171.000000|171.000000|171.000000|200|
73|10:34:00|170.000000|170.000000|170.000000|170.000000|100|
74|10:35:00|170.000000|171.000000|170.000000|170.000000|243000|
75|10:36:00|170.000000|170.000000|170.000000|170.000000|6000|
76|10:41:00|170.000000|170.000000|170.000000|170.000000|2500|
77|10:45:00|170.000000|171.000000|170.000000|171.000000|46600|
78|10:46:00|170.000000|170.000000|170.000000|170.000000|20200|
79|10:49:00|171.000000|171.000000|171.000000|171.000000|100|
80|10:50:00|171.000000|171.000000|171.000000|171.000000|18800|
81|10:51:00|171.000000|171.000000|171.000000|171.000000|58800|
82|10:52:00|171.000000|171.000000|171.000000|171.000000|9000|
83|10:55:00|171.000000|171.000000|171.000000|171.000000|900|
84|10:59:00|171.000000|171.000000|171.000000|171.000000|1100|
85|11:01:00|171.000000|171.000000|171.000000|171.000000|10000|
86|11:10:00|171.000000|171.000000|171.000000|171.000000|200|
87|11:11:00|171.000000|171.000000|171.000000|171.000000|300|
88|11:12:00|171.000000|171.000000|171.000000|171.000000|29300|
89|11:15:00|171.000000|171.000000|171.000000|171.000000|120400|
90|11:19:00|170.000000|170.000000|170.000000|170.000000|60000|
91|11:21:00|170.000000|170.000000|170.000000|170.000000|193900|
92|11:22:00|170.000000|170.000000|169.000000|170.000000|17900|
93|11:26:00|170.000000|170.000000|170.000000|170.000000|10000|
94|11:27:00|169.000000|169.000000|169.000000|169.000000|500|
95|11:29:00|170.000000|170.000000|170.000000|170.000000|11900|
96|11:30:00|170.000000|170.000000|170.000000|170.000000|200|
97|11:33:00|171.000000|171.000000|171.000000|171.000000|400|
98|11:38:00|170.000000|170.000000|170.000000|170.000000|2900|
99|11:44:00|170.000000|170.000000|170.000000|170.000000|76600|
100|11:49:00|170.000000|170.000000|170.000000|170.000000|10000|
101|11:56:00|170.000000|170.000000|170.000000|170.000000|33200|x15=1
102|11:57:00|170.000000|170.000000|170.000000|170.000000|10000|x15=1
103|13:30:00|170.000000|171.000000|170.000000|170.000000|67300|x3=40;x8=0;x10=1;x17=1
104|13:31:00|170.000000|170.000000|170.000000|170.000000|29300|x3=40;x8=0;x10=1;x17=1
105|13:37:00|170.000000|170.000000|170.000000|170.000000|400|x3=40;x8=0;x10=1
106|13:39:00|170.000000|170.000000|170.000000|170.000000|8100|x3=40;x8=0;x10=1
107|13:40:00|170.000000|170.000000|169.000000|169.000000|44700|x3=40;x8=0;x10=1
